Society,Year,Node,C_sd,K_sd,S_sd,A_sd
Iran,2003,Lore,1.304,0.447,1.0,1.14
Iran,2003,Shield,0.837,1.304,0.837,1.304
Iran,2003,Stewards,0.894,1.517,1.342,0.837
Iran,2004,Archive,1.14,0.837,0.707,0.894
Iran,2004,Craft,0.837,1.304,0.894,1.643
Iran,2004,Flow,1.0,1.0,0.548,1.14
Iran,2004,Hands,0.894,0.837,1.14,1.304
Iran,2004,Helm,1.517,0.837,1.342,1.643
Iran,2004,Lore,1.414,0.894,1.414,0.837
Iran,2004,Shield,0.837,0.707,1.304,1.414
Iran,2004,Stewards,0.837,1.304,1.095,0.837
Iran,2005,Archive,1.14,1.14,0.837,1.14
Iran,2005,Craft,1.225,1.517,1.304,1.414
Iran,2005,Flow,0.548,1.095,0.837,0.707
Iran,2005,Hands,0.837,1.304,1.14,0.894
Iran,2005,Helm,0.894,0.894,0.447,1.517
Iran,2005,Lore,0.548,0.837,1.225,1.14
Iran,2005,Shield,1.304,0.894,0.894,1.414
Iran,2005,Stewards,0.707,0.894,0.548,1.304
Iran,2006,Archive,0.837,0.894,1.225,1.0
Iran,2006,Craft,0.894,1.304,1.342,0.837
Iran,2006,Flow,0.707,0.548,0.707,0.707
Iran,2006,Hands,1.225,1.304,0.707,0.837
Iran,2006,Helm,1.225,1.304,0.837,1.483
Iran,2006,Lore,1.414,0.894,0.837,0.837
Iran,2006,Shield,1.0,1.304,1.342,1.342
Iran,2006,Stewards,0.548,1.0,1.14,1.304
Iran,2007,Archive,1.517,0.837,0.837,1.304
Iran,2007,Craft,0.548,0.894,1.0,0.837
Iran,2007,Flow,0.837,1.225,1.581,1.643
Iran,2007,Hands,1.095,1.304,1.342,0.894
Iran,2007,Helm,1.517,1.414,1.225,0.707
Iran,2007,Lore,0.548,1.517,1.095,1.342
Iran,2007,Shield,1.095,1.342,1.0,0.837
Iran,2007,Stewards,1.095,1.643,0.447,1.581
Iran,2008,Archive,0.837,1.14,0.548,1.483
Iran,2008,Craft,0.894,1.0,0.837,1.304
Iran,2008,Flow,1.095,1.0,0.837,0.707
Iran,2008,Hands,1.14,1.095,1.304,1.304
Iran,2008,Helm,1.0,1.14,0.707,1.225
Iran,2008,Lore,0.837,1.14,1.517,0.548
Iran,2008,Shield,0.548,1.643,0.548,1.14
Iran,2008,Stewards,0.837,1.517,0.837,0.548
Iran,2009,Archive,0.707,0.837,0.894,1.342
Iran,2009,Craft,0.837,1.643,0.548,1.14
Iran,2009,Flow,1.304,1.924,1.924,2.074
Iran,2009,Hands,1.225,0.894,0.837,0.837
Iran,2009,Helm,1.095,1.673,1.924,2.168
Iran,2009,Lore,1.483,1.949,2.191,1.304
Iran,2009,Shield,2.074,1.581,1.817,1.095
Iran,2009,Stewards,1.342,1.095,0.447,0.837
Iran,2010,Archive,1.581,1.14,1.225,0.894
Iran,2010,Craft,0.447,1.14,0.837,1.517
Iran,2010,Flow,0.447,0.548,1.517,1.483
Iran,2010,Hands,1.14,0.894,0.707,1.14
Iran,2010,Helm,0.837,1.414,1.483,0.837
Iran,2010,Lore,1.0,1.304,0.894,0.837
Iran,2010,Shield,1.14,0.894,1.342,1.483
Iran,2010,Stewards,1.304,1.095,1.342,1.095
Iran,2011,Archive,1.517,0.837,1.414,1.304
Iran,2011,Craft,0.707,0.894,1.414,1.095
Iran,2011,Flow,1.817,2.49,1.095,1.517
Iran,2011,Hands,0.837,0.707,1.304,1.304
Iran,2011,Helm,0.837,1.304,0.707,1.414
Iran,2011,Lore,1.14,1.14,1.095,1.304
Iran,2011,Shield,1.304,1.225,0.837,0.837
Iran,2011,Stewards,0.707,1.304,1.14,1.304
Iran,2012,Archive,1.095,1.643,0.837,0.837
Iran,2012,Craft,1.483,1.0,0.707,0.548
Iran,2012,Flow,1.342,1.304,1.673,1.095
Iran,2012,Hands,1.304,1.095,1.095,1.517
Iran,2012,Helm,1.225,1.225,0.837,1.304
Iran,2012,Lore,1.483,0.837,0.894,1.414
Iran,2012,Shield,0.837,1.14,0.837,1.0
Iran,2012,Stewards,1.304,1.342,1.0,0.707
Iran,2013,Archive,0.548,0.707,0.548,0.837
Iran,2013,Craft,1.304,1.14,0.707,1.517
Iran,2013,Flow,0.894,0.707,0.707,0.837
Iran,2013,Hands,1.483,1.414,0.894,1.095
Iran,2013,Helm,0.894,1.483,1.14,1.14
Iran,2013,Lore,1.14,0.837,1.414,0.837
Iran,2013,Shield,1.517,0.707,1.304,1.483
Iran,2013,Stewards,1.095,1.14,0.548,0.837
Iran,2014,Archive,1.581,1.095,1.095,1.342
Iran,2014,Craft,0.894,0.837,0.837,1.304
Iran,2014,Flow,0.837,1.095,1.14,1.14
Iran,2014,Hands,1.342,1.14,0.837,0.837
Iran,2014,Helm,1.483,0.837,0.707,0.837
Iran,2014,Lore,1.304,0.548,1.225,0.548
Iran,2014,Shield,0.447,1.304,1.517,1.517
Iran,2014,Stewards,1.0,0.837,0.894,0.548
Iran,2015,Archive,0.548,1.095,0.837,1.225
Iran,2015,Craft,1.581,1.095,0.894,1.483
Iran,2015,Flow,0.894,1.304,1.14,0.548
Iran,2015,Hands,0.548,1.0,1.517,1.304
Iran,2015,Helm,1.225,1.304,1.225,0.837
Iran,2015,Lore,0.548,1.225,0.548,1.517
Iran,2015,Shield,1.517,1.14,1.225,1.342
Iran,2015,Stewards,1.517,1.304,0.894,1.225
Iran,2016,Archive,1.0,1.414,1.304,0.837
Iran,2016,Craft,0.837,0.894,0.548,1.342
Iran,2016,Flow,0.894,0.894,1.304,1.14
Iran,2016,Hands,0.707,1.225,1.581,0.447
Iran,2016,Helm,1.095,1.304,1.304,0.894
Iran,2016,Lore,0.837,1.095,1.14,1.0
Iran,2016,Shield,0.894,1.0,0.894,0.447
Iran,2016,Stewards,1.0,0.837,0.447,1.225
Iran,2017,Archive,1.643,0.837,1.517,1.517
Iran,2017,Craft,1.14,1.304,1.0,0.837
Iran,2017,Flow,1.483,1.14,0.447,0.548
Iran,2017,Hands,1.342,1.0,1.304,0.837
Iran,2017,Helm,0.707,1.14,0.837,0.837
Iran,2017,Lore,1.304,1.304,1.095,1.304
Iran,2017,Shield,1.14,1.304,0.548,0.447
Iran,2017,Stewards,1.483,1.0,0.837,0.837
Iran,2018,Archive,0.548,1.304,0.894,1.14
Iran,2018,Craft,1.949,1.095,1.581,2.302
Iran,2018,Flow,1.14,0.837,1.304,0.548
Iran,2018,Hands,1.14,1.304,1.643,1.342
Iran,2018,Helm,2.191,1.581,1.14,1.095
Iran,2018,Lore,1.304,0.548,1.342,0.894
Iran,2018,Shield,0.837,0.894,1.304,1.0
Iran,2018,Stewards,1.304,1.949,1.14,1.14
Iran,2019,Archive,0.837,0.894,0.837,1.304
Iran,2019,Craft,1.483,1.095,1.304,1.342
Iran,2019,Flow,0.837,0.707,1.0,1.483
Iran,2019,Hands,0.837,1.924,1.643,1.304
Iran,2019,Helm,1.924,1.14,1.517,0.837
Iran,2019,Lore,0.837,1.517,0.548,1.342
Iran,2019,Shield,1.095,0.894,0.894,0.837
Iran,2019,Stewards,1.924,1.817,1.817,1.673
Iran,2020,Archive,2.0,1.14,1.414,2.345
Iran,2020,Craft,1.673,1.673,1.517,1.304
Iran,2020,Flow,1.517,1.304,1.789,0.894
Iran,2020,Hands,1.0,1.225,1.817,1.304
Iran,2020,Helm,1.817,1.789,1.673,1.871
Iran,2020,Lore,1.643,1.304,1.581,1.789
Iran,2020,Shield,2.168,0.837,2.168,1.414
Iran,2020,Stewards,2.074,0.894,2.0,1.643
Iran,2021,Archive,1.0,2.074,1.949,1.517
Iran,2021,Craft,1.342,0.837,2.074,1.095
Iran,2021,Flow,1.581,1.871,1.673,1.673
Iran,2021,Hands,1.949,2.345,2.302,1.643
Iran,2021,Helm,2.0,2.168,1.14,1.14
Iran,2021,Lore,1.14,0.894,0.894,1.14
Iran,2021,Shield,1.14,0.894,1.517,1.304
Iran,2021,Stewards,0.894,0.837,1.225,1.304
Iran,2022,Archive,2.191,2.387,1.342,1.225
Iran,2022,Craft,0.837,1.14,1.0,1.304
Iran,2022,Flow,0.837,1.095,2.191,1.483
Iran,2022,Hands,0.837,0.894,1.673,1.14
Iran,2022,Helm,1.304,1.673,1.304,1.304
Iran,2022,Lore,1.949,1.225,1.581,1.643
Iran,2022,Shield,1.581,1.483,1.304,1.304
Iran,2022,Stewards,1.304,1.581,0.837,1.0
Iran,2023,Archive,0.894,1.225,1.304,0.707
Iran,2023,Craft,2.408,1.643,1.14,1.924
Iran,2023,Flow,1.483,2.049,0.707,0.707
Iran,2023,Hands,0.894,1.673,1.14,2.0
Iran,2023,Helm,1.817,0.837,1.304,1.225
Iran,2023,Lore,1.643,0.837,1.304,1.342
Iran,2023,Shield,0.837,1.225,0.837,0.894
Iran,2023,Stewards,0.837,0.837,0.837,1.643
Iran,2024,Archive,0.837,1.342,1.517,1.304
Iran,2024,Craft,2.345,1.304,2.302,2.074
Iran,2024,Flow,1.304,2.121,1.0,1.673
Iran,2024,Hands,1.225,1.14,2.387,1.732
Iran,2024,Helm,2.168,1.817,1.14,1.789
Iran,2024,Lore,0.894,0.447,1.414,1.304
Iran,2024,Shield,1.643,2.121,1.817,1.871
Iran,2024,Stewards,0.837,0.837,1.517,1.581
Iran,2025,Archive,1.14,1.14,1.304,1.14
Iran,2025,Craft,1.225,0.548,1.14,0.548
Iran,2025,Flow,1.673,1.949,1.949,1.871
Iran,2025,Hands,1.342,0.548,1.789,1.673
Iran,2025,Helm,1.517,1.225,2.408,2.168
Iran,2025,Lore,1.225,0.837,0.894,1.517
Iran,2025,Shield,1.643,1.14,0.548,1.517
Iran,2025,Stewards,1.643,1.095,0.894,1.095
Iran,2026,Archive,1.304,0.837,0.548,1.517
Iran,2026,Craft,1.225,1.14,1.225,0.707
Iran,2026,Flow,2.28,2.074,2.074,1.581
Iran,2026,Hands,1.581,2.168,1.789,1.225
Iran,2026,Helm,1.14,2.074,1.14,1.14
Iran,2026,Lore,1.517,1.581,1.14,1.414
Iran,2026,Shield,0.548,1.414,1.304,1.0
Iran,2026,Stewards,1.342,1.517,1.14,2.28
